22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
22,22,22,5,0,24,0,16,12,22,22,22,22,22,22,22
22,22,22,27,22,22,22,15,6,12,22,22,22,22,22,22
22,22,22,1,22,22,22,22,15,6,12,22,22,22,22,22
22,22,22,1,22,22,13,12,22,15,6,12,22,22,22,22
22,22,22,9,12,22,15,14,22,22,15,6,12,22,22,22
22,22,22,15,6,12,22,22,13,12,22,15,6,12,22,22
22,22,22,22,15,11,22,22,15,14,22,22,15,11,22,22
22,22,22,22,13,19,22,22,22,22,22,22,13,19,22,22
22,22,22,13,7,14,22,22,22,22,22,13,7,14,22,22
22,22,13,7,14,22,22,22,13,10,2,17,14,22,22,22
22,13,7,14,22,22,22,13,7,14,9,19,22,22,22,22
22,17,14,22,22,22,13,7,14,22,15,14,22,22,22,22
22,27,22,22,22,13,7,14,22,22,22,22,22,22,22,22
22,4,26,0,0,8,14,22,22,22,22,13,10,0,16,12
22,22,22,22,22,22,22,22,22,22,22,17,14,22,15,11
