21,22,20,13,10,26,0,24,0,0,26,16,12,21,22,21
22,22,5,8,14,21,22,22,20,22,22,15,6,12,20,21
21,22,1,22,21,13,10,16,12,22,21,20,15,6,12,22
5,0,3,22,22,17,14,15,11,22,22,21,22,15,18,2
9,12,20,21,22,25,21,22,4,26,16,12,13,10,0,3
15,6,12,22,20,9,12,21,22,21,15,18,8,14,22,22
22,15,18,2,22,15,18,26,0,16,12,21,22,22,20,21
22,20,21,27,22,21,20,22,22,15,6,12,22,21,22,22
22,13,10,3,22,22,22,22,22,20,15,18,26,16,12,22
13,7,14,20,22,13,10,26,0,16,12,20,22,15,6,12
15,6,12,22,21,17,14,22,21,15,11,22,22,20,15,11
22,15,6,12,22,1,22,22,22,13,19,22,21,22,13,19
20,22,15,6,12,27,22,21,13,7,14,21,22,13,7,14
21,22,22,15,18,3,21,22,17,14,22,20,13,7,14,22
22,22,21,22,20,22,22,22,27,21,22,13,7,14,21,22
22,22,22,22,22,21,22,22,4,0,26,8,14,22,22,21
