22,22,22,22,22,13,13,13,13,13,22,22,22,22,22,22,13,13,22,22,22,22,22,22,22,22,22,22,22,22
22,5,0,24,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,2,22,22,23
22,1,22,22,22,13,13,13,13,13,22,15,15,15,15,22,13,13,13,12,22,22,22,22,22,22,1,22,22,22
22,1,13,10,0,0,0,0,0,0,26,0,0,0,0,0,0,0,16,12,12,22,22,22,22,22,1,22,22,22
22,1,17,14,22,22,22,22,22,22,22,15,15,15,15,22,22,15,15,6,12,12,22,22,22,22,1,22,22,22
22,1,1,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,15,15,6,12,12,22,22,22,1,22,22,22
22,1,1,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,15,15,6,12,12,22,22,9,12,22,22
22,1,27,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,15,15,6,12,12,22,15,6,12,22
15,1,1,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,15,15,6,12,12,22,15,6,12
15,1,1,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,15,15,6,12,12,22,15,11
15,1,1,22,22,22,22,22,22,22,22,13,10,26,0,0,0,26,16,12,22,22,22,15,15,6,12,12,22,1
15,1,1,22,22,22,22,22,22,22,13,7,14,22,22,22,22,22,15,6,12,22,22,22,15,15,6,12,12,1
15,1,1,22,22,22,22,22,22,22,17,14,22,22,22,22,22,22,22,15,11,22,22,22,22,15,15,11,12,1
22,27,1,22,22,22,22,22,22,22,1,22,22,22,22,22,22,22,22,22,4,0,0,0,0,0,26,3,22,1
22,1,1,14,22,22,22,22,22,22,1,22,22,22,22,22,22,22,22,22,5,0,0,0,0,0,0,0,2,1
22,1,1,14,22,22,22,22,22,22,9,12,22,22,22,22,22,22,22,13,19,22,22,22,22,22,22,22,1,1
22,1,1,14,22,22,22,22,22,22,15,6,12,22,22,22,22,22,13,7,14,22,22,22,22,22,22,22,1,1
22,1,1,14,22,22,22,22,22,22,22,15,18,26,0,0,0,26,8,14,22,22,22,22,22,22,22,22,1,1
22,1,27,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,1,1
22,1,1,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,1,1
22,1,1,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,1,1
22,1,9,12,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,1,1
22,1,15,6,12,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,1,1
22,1,15,15,6,12,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,27,1
22,9,12,15,15,6,12,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,13,19,1
22,15,6,12,15,15,6,12,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,13,7,14,1
22,22,15,6,12,15,15,6,12,22,22,22,22,22,22,22,22,22,12,12,12,12,12,22,22,13,7,14,13,19
22,22,22,15,6,12,15,15,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,8,14,13,7,14
22,22,22,22,15,18,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,8,14,22
22,22,22,22,22,22,22,22,22,14,14,14,14,14,14,14,14,22,22,22,22,22,22,22,22,22,22,22,22,22
