1,20,5,0,0,0,0,0,0,0,0,0,0,0,2,22
1,13,1,12,20,5,2,5,0,0,0,2,5,13,1,12
1,22,27,22,13,19,1,1,5,0,2,9,19,22,27,22
1,15,1,14,17,14,1,1,1,0,3,17,11,15,1,14
1,20,1,20,1,20,1,1,4,2,21,1,9,12,1,23
1,20,1,20,1,20,25,4,0,3,13,19,15,6,19,23
1,20,1,20,1,20,9,10,16,10,8,14,23,17,6,12
9,12,1,20,1,20,17,18,8,18,16,12,23,1,15,6
15,11,4,2,1,5,3,20,20,20,15,11,23,1,23,15
21,9,10,3,1,9,10,0,0,0,16,19,31,1,22,22
21,17,18,2,1,17,18,2,31,31,17,11,21,22,21,22
21,1,21,1,1,1,21,9,10,0,3,1,22,22,22,22
13,1,21,12,1,1,21,17,18,2,22,1,22,21,22,22
22,27,22,31,4,3,13,19,22,9,10,3,22,22,22,22
22,1,5,0,0,0,8,14,22,17,11,22,21,21,21,22
15,4,3,14,21,21,5,0,0,3,22,21,22,22,22,21
