23,22,22,5,2,23,21,21,22,22,22,22,22,22,22,22
5,2,23,1,4,16,12,23,21,22,22,22,22,22,22,22
1,9,12,27,20,15,18,0,0,26,0,0,0,0,0,2
1,15,11,4,0,2,22,20,5,0,0,2,23,21,22,1
1,21,27,13,10,3,23,21,25,22,22,1,23,21,22,1
1,21,9,7,14,20,22,20,1,22,22,1,23,21,22,1
1,21,15,14,20,20,23,21,1,22,22,1,23,21,22,27
27,21,21,20,5,26,16,12,1,22,22,27,23,21,22,1
4,0,16,12,4,2,15,11,27,22,22,1,23,21,22,1
23,22,15,18,0,3,22,4,3,22,22,1,23,21,21,1
23,21,22,22,22,22,22,22,22,22,22,1,23,22,22,1
23,21,22,5,0,0,0,0,0,26,0,3,5,0,0,3
23,21,22,1,20,20,20,20,31,31,31,31,27,31,20,20
23,21,22,27,31,31,31,20,20,20,20,31,1,20,20,22
23,21,22,1,31,31,31,31,31,31,31,31,4,0,0,2
23,21,22,4,0,0,26,0,0,0,0,0,0,0,0,3
